Number,Gender,Background,Face color,Occasions,Eyes,Accs on face,Facial Expressions,Accs on head,Clothes,Little Accs
1,1,4,1,2,1,4,1,5,0,0
2,1,2,2,2,1,3,2,5,18,2
3,1,3,3,2,1,0,1,5,19,1
4,2,10,5,2,2,0,1,5,10,2
5,1,1,4,1,1,0,1,5,4,0
6,1,2,1,1,2,0,1,8,4,0
7,1,4,3,2,1,0,1,8,14,0
8,1,5,3,2,1,0,1,4,20,3
9,2,6,5,2,1,5,1,6,17,0
10,1,2,1,2,1,3,1,6,14,0
11,2,3,5,2,1,0,1,6,10,0
12,2,2,5,1,1,0,1,5,20,5
13,1,10,1,1,2,0,1,8,4,0
14,2,1,5,1,1,0,1,6,20,2
15,1,2,1,1,2,0,1,8,2,0
16,2,9,5,2,1,5,1,5,10,0
17,1,2,4,1,1,0,1,5,20,1
18,1,3,1,2,2,0,1,5,16,0
19,1,9,1,2,1,3,1,6,1,0
20,1,1,1,1,1,0,1,8,8,0
21,1,9,1,2,1,0,1,4,13,1
22,1,5,1,2,2,0,1,5,14,0
23,1,6,1,2,1,5,1,5,16,0
24,2,10,5,1,1,0,1,5,20,2
25,1,5,2,2,1,5,2,2,12,0
26,1,10,1,1,1,5,1,8,6,0
27,2,5,5,1,1,0,1,5,20,3
28,2,7,5,2,1,0,1,5,10,1
29,1,1,1,2,1,3,1,8,15,0
30,1,2,1,1,1,0,1,8,5,2
31,1,2,2,2,1,3,2,2,16,5
32,1,1,1,1,2,0,1,6,6,0
33,1,8,1,2,1,0,1,5,16,5
34,1,1,2,2,1,0,2,5,11,4
35,1,2,1,1,1,5,1,8,2,0
36,1,4,1,1,1,0,1,5,20,3
37,1,10,1,1,2,0,1,8,3,0
38,1,5,1,1,1,0,1,8,20,0
39,1,10,1,1,1,0,1,5,2,0
40,1,8,1,1,1,0,1,5,20,0
41,1,1,1,1,2,0,1,8,5,0
42,1,1,1,1,2,0,1,5,4,0
43,1,2,1,1,1,5,1,6,4,0
44,1,2,1,1,1,0,1,8,2,0
45,1,8,1,2,1,0,1,7,11,1
46,1,2,1,2,1,3,1,5,11,0
47,1,8,1,2,1,1,1,0,14,0
48,1,2,1,1,2,0,1,8,7,0
49,2,6,5,2,1,0,1,6,10,5
50,1,2,1,1,2,0,1,5,2,0
51,1,5,1,2,1,0,1,6,15,0
52,1,9,1,2,1,0,1,8,15,0
53,1,1,1,2,1,0,1,6,11,5
54,1,1,2,2,1,0,2,4,12,5
55,2,2,5,2,1,0,1,0,11,4
56,1,2,1,1,1,0,1,8,9,0
57,1,2,2,1,1,0,2,5,20,0
58,1,1,1,1,1,0,1,6,2,0
59,1,6,1,2,1,7,1,10,12,0
60,1,3,1,2,1,5,1,3,13,0
61,1,1,1,1,1,0,1,8,3,2
62,2,5,5,1,1,2,1,0,20,0
63,1,10,4,1,1,3,1,5,20,0
64,1,3,1,2,1,4,1,8,12,0
65,1,8,2,2,1,0,2,2,20,5
66,1,2,1,1,1,0,1,8,2,0
67,1,5,5,2,1,0,1,6,1,0
68,2,4,5,2,1,0,1,0,20,5
69,1,2,1,1,1,0,1,8,2,0
70,2,10,5,1,1,0,1,0,20,3
71,1,2,1,1,2,0,1,5,8,0
72,1,2,1,1,1,5,1,0,5,0
73,1,3,1,2,1,5,1,6,14,0
74,1,4,1,2,2,0,1,0,20,5
75,1,10,1,1,1,0,1,5,9,2
76,1,9,1,2,1,0,1,6,13,0
77,2,4,5,2,1,0,1,10,20,0
78,1,10,1,1,2,0,1,0,3,0
79,2,3,5,2,1,0,1,6,14,2
80,1,2,4,2,1,0,1,3,20,5
81,1,2,1,1,1,0,1,5,6,2
82,2,8,5,2,1,4,1,4,20,0
83,1,10,1,1,2,0,1,5,2,0
84,1,2,1,2,1,7,1,5,20,0
85,1,10,1,1,1,5,1,5,7,0
86,1,2,1,1,1,0,1,5,8,2
87,2,7,5,2,1,0,1,6,10,5
88,1,2,1,1,2,0,1,6,4,0
89,1,10,1,1,1,5,1,5,5,0
90,1,10,1,1,1,0,1,6,3,0
91,2,4,5,2,1,0,1,6,17,0
92,1,2,1,1,2,0,1,5,3,0
93,1,10,1,1,1,5,1,6,6,0
94,1,8,2,2,1,0,2,8,15,4
95,1,7,3,2,1,4,1,0,20,0
96,1,1,1,1,1,5,1,8,3,0
97,1,9,1,2,1,0,1,8,12,1
98,1,7,1,2,1,0,1,1,20,3
99,1,10,1,1,1,0,1,6,2,2
100,1,10,1,1,1,0,1,6,5,0
101,1,2,1,1,1,0,1,0,8,2
102,1,4,4,2,1,7,1,8,11,0
103,1,2,1,1,2,0,1,8,6,0
104,1,2,1,1,1,0,1,5,6,0
105,1,5,1,2,1,0,1,0,20,5
106,1,10,1,1,1,5,1,5,6,0
107,1,1,1,1,1,5,1,8,5,0
108,1,2,1,1,1,0,1,8,3,0
109,1,1,1,2,1,5,1,10,20,0
110,1,1,1,2,1,0,1,8,16,0
111,1,4,2,2,1,0,2,8,12,4
112,1,10,1,1,1,0,1,0,2,0
113,1,3,2,2,1,4,2,5,20,0
114,1,10,1,1,2,0,1,8,3,0
115,1,2,1,1,1,5,1,8,5,0
116,2,3,5,2,1,0,1,6,17,4
117,1,1,1,1,1,0,1,8,3,0
118,1,1,1,1,1,5,1,8,9,0
119,1,2,1,1,1,0,1,8,9,2
120,1,1,1,1,2,0,1,5,9,0
121,1,5,4,2,1,3,1,8,14,0
122,1,2,1,1,2,0,1,8,3,0
123,1,4,2,2,1,0,2,5,12,1
124,1,10,1,1,1,5,1,8,2,0
124,1,1,1,2,1,3,1,0,20,0
125,1,7,4,2,2,0,1,2,20,0
126,1,1,1,1,1,0,1,8,4,2
127,2,5,5,2,1,0,1,5,1,5
128,1,2,1,1,1,0,1,0,2,2
129,1,7,3,2,1,0,1,6,16,2
130,1,1,1,1,1,0,1,8,8,0
131,1,8,1,2,1,0,1,5,13,5
132,1,10,1,1,1,0,1,6,2,2
133,1,1,1,1,2,0,1,8,5,0
134,1,10,1,2,1,3,1,5,15,0
135,1,10,1,1,1,5,1,8,5,0
136,2,2,5,2,1,3,1,5,20,0
137,1,2,1,1,1,0,1,5,2,2
138,1,1,1,1,1,5,1,8,5,0
139,1,10,3,2,1,3,1,6,14,0
140,1,10,1,1,1,5,1,8,4,0
141,2,2,5,2,1,0,1,5,10,3
142,1,10,1,1,1,0,1,8,8,2
143,1,2,1,2,1,0,1,8,13,0
144,1,1,1,1,1,0,1,5,9,0
145,1,3,1,2,1,0,1,8,16,0
146,1,1,1,1,1,0,1,8,7,0
147,2,10,5,2,1,5,1,5,1,0
148,1,1,1,1,1,0,1,8,8,2
149,1,2,1,1,1,0,1,5,9,0
150,2,4,5,2,1,3,1,4,20,0
151,1,2,1,1,1,0,1,5,4,0
152,1,1,1,1,1,0,1,6,9,0
153,1,1,1,2,1,0,1,8,12,0
154,1,2,1,1,1,0,1,8,2,0
155,1,2,1,2,1,3,1,8,15,0
156,1,10,1,1,1,0,1,8,9,2
157,2,7,1,2,4,0,1,3,17,0
158,1,10,1,1,1,0,1,5,4,0
159,1,2,1,1,1,0,1,8,2,2
160,1,8,1,2,1,0,1,8,13,2
161,1,10,1,1,2,0,1,5,7,0
162,1,3,1,2,1,0,1,6,16,3
163,1,1,3,2,1,0,1,8,13,1
164,1,10,1,1,1,5,1,6,5,0
165,1,8,1,2,1,0,1,6,15,0
166,1,10,1,1,2,0,1,5,7,0
167,1,2,1,1,1,5,1,5,2,0
168,1,9,4,2,1,4,1,5,13,0
169,1,10,1,1,1,0,1,6,4,0
170,1,5,1,2,1,0,1,5,11,0
171,1,2,1,1,2,0,1,8,2,0
172,1,9,1,2,1,3,1,8,15,0
173,1,1,1,1,1,0,1,5,2,0
174,1,2,1,2,1,0,1,8,13,3
